               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059373,            0.023686,                   0,             0.83619,             0.77365,             0.86772,             0.33018,            0.026083,            0.010925,                   0,            0.070042,           0.0033287,           0.0033287
                   1,            0.041148,            0.014827,                   0,             0.60871,             0.84879,             0.66397,             0.26584,            0.022784,            0.010322,                   0,            0.039976,           0.0065961,           0.0065961
                   2,            0.037318,            0.013064,                   0,             0.84118,             0.82541,             0.88496,             0.37723,            0.022927,            0.010238,                   0,           0.0098439,           0.0097974,           0.0097974
                   3,            0.032782,            0.011954,                   0,             0.52758,             0.53896,             0.54139,             0.20876,            0.025972,             0.01435,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.029826,            0.010957,                   0,             0.74807,             0.79194,             0.84486,             0.35385,            0.022984,            0.011364,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.028181,            0.010897,                   0,             0.63337,             0.62477,             0.68107,               0.271,            0.024399,            0.014184,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.026815,            0.010483,                   0,             0.54035,             0.28618,              0.3116,             0.12076,            0.028701,            0.020927,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.025793,            0.010113,                   0,             0.65327,             0.79963,             0.70282,             0.27932,            0.023547,            0.012669,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.025331,           0.0098184,                   0,             0.67314,             0.65445,             0.65754,             0.26262,            0.024554,            0.014565,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.025225,           0.0097383,                   0,             0.42644,             0.49969,             0.50647,             0.21243,            0.026124,            0.016397,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.024361,           0.0094534,                   0,             0.46349,             0.52892,             0.47547,             0.19151,            0.026653,            0.016584,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.023725,           0.0093332,                   0,             0.64599,             0.70686,             0.68425,              0.3038,            0.023599,            0.013465,                   0,             0.00901,             0.00901,             0.00901
                  12,             0.02369,           0.0092953,                   0,             0.51136,             0.50237,             0.50055,              0.2032,            0.027187,            0.017287,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.02323,           0.0090332,                   0,             0.69771,             0.64239,             0.68013,             0.29129,            0.024839,            0.014446,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.022788,           0.0090132,                   0,              0.5229,             0.64378,             0.56584,             0.22926,            0.025545,            0.015568,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.022664,           0.0088605,                   0,             0.73135,             0.77024,             0.75535,             0.30939,            0.023334,            0.013229,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.022284,           0.0089025,                   0,             0.86618,             0.88265,             0.90063,              0.3956,            0.021984,            0.012553,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.022076,            0.008668,                   0,             0.63553,             0.73112,             0.70681,              0.2916,            0.023673,            0.014261,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.022009,           0.0086624,                   0,             0.62464,             0.70932,             0.73655,             0.33501,            0.023155,            0.013827,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.021297,           0.0086599,                   0,             0.56679,             0.58621,             0.57622,             0.25102,            0.024562,            0.017484,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.021438,           0.0085636,                   0,             0.58004,             0.58442,             0.61009,             0.25528,            0.024653,             0.01728,                   0,            0.008119,            0.008119,            0.008119
