               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056796,            0.022315,                   0,             0.75621,             0.62199,             0.73704,             0.30233,            0.030948,            0.010404,                   0,            0.070084,            0.003324,            0.003324
                   1,            0.040431,            0.014016,                   0,             0.85943,             0.63915,             0.73891,             0.36838,            0.025119,            0.012025,                   0,            0.040018,           0.0065915,           0.0065915
                   2,            0.036542,            0.012206,                   0,             0.52554,             0.55102,             0.46319,             0.19375,            0.027036,            0.015654,                   0,           0.0098857,           0.0097929,           0.0097929
                   3,            0.033075,            0.011305,                   0,             0.78469,             0.76994,             0.85009,             0.36153,            0.024472,            0.012289,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.029061,            0.010376,                   0,             0.79779,             0.78503,              0.8459,             0.38038,            0.023099,            0.011127,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.026976,            0.010157,                   0,             0.73722,             0.78942,             0.81659,             0.37837,            0.023013,             0.01184,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.026092,           0.0097774,                   0,             0.66906,             0.64796,             0.64418,             0.29568,            0.023938,            0.014177,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.024955,           0.0093413,                   0,             0.63218,             0.60065,             0.63091,              0.2856,            0.024624,             0.01352,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.024379,           0.0092188,                   0,             0.62283,             0.62801,             0.61628,             0.27863,            0.024901,             0.01498,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.023587,           0.0090257,                   0,             0.55077,             0.58071,             0.53741,             0.23939,            0.025516,            0.015837,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.023161,           0.0086735,                   0,             0.54225,             0.40863,             0.43885,             0.17565,            0.029036,            0.019164,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.02259,           0.0086022,                   0,             0.78487,             0.67718,             0.75088,             0.34508,            0.024122,             0.01556,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.022262,           0.0085528,                   0,             0.71092,             0.67115,             0.71221,             0.31453,            0.024033,            0.013317,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.021941,           0.0082962,                   0,             0.71911,             0.64193,             0.75132,             0.37821,            0.024165,            0.014719,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.021287,           0.0083363,                   0,             0.73852,              0.6897,             0.78025,             0.33721,            0.023188,            0.013965,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.021069,           0.0080886,                   0,             0.61235,             0.74026,             0.74182,              0.3099,              0.0243,            0.014142,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.020735,           0.0082306,                   0,              0.7612,             0.70826,             0.78162,             0.36559,            0.023144,            0.014577,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.020673,           0.0080388,                   0,             0.65567,             0.68095,              0.6976,             0.30369,            0.024423,            0.015836,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.020389,           0.0079864,                   0,             0.54121,             0.70309,               0.695,             0.30927,            0.024628,            0.015321,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.019989,           0.0079796,                   0,             0.71826,             0.62316,             0.72216,             0.33825,            0.023075,            0.016449,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.020011,            0.007792,                   0,             0.72578,             0.67394,             0.74885,             0.37645,            0.022995,            0.014498,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.019773,           0.0077144,                   0,             0.77965,             0.75489,             0.81686,             0.40133,             0.02249,            0.013847,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.019714,            0.007648,                   0,             0.51677,             0.57746,             0.54921,             0.25606,            0.024984,            0.019435,                   0,            0.007921,            0.007921,            0.007921
