               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062719,            0.023775,                   0,             0.79788,             0.57865,             0.70926,             0.21444,            0.032564,            0.011364,                   0,            0.070084,            0.003324,            0.003324
                   1,            0.043588,            0.015557,                   0,             0.40281,             0.77781,             0.39779,             0.17495,            0.027138,            0.012276,                   0,            0.040018,           0.0065915,           0.0065915
                   2,            0.038202,            0.013051,                   0,             0.39941,             0.61067,             0.48196,             0.17609,            0.029004,            0.014492,                   0,           0.0098857,           0.0097929,           0.0097929
                   3,            0.033686,            0.011853,                   0,             0.71597,             0.60278,              0.6897,             0.31893,            0.027049,            0.014267,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.030635,            0.011205,                   0,             0.49935,             0.62599,             0.42713,             0.19384,            0.029835,            0.016526,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.028601,            0.010626,                   0,             0.48541,             0.62069,             0.48472,             0.21045,            0.027686,            0.015275,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.027844,            0.010414,                   0,             0.55157,             0.62552,             0.51587,             0.22176,            0.026126,            0.014388,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.026686,           0.0099853,                   0,             0.50095,             0.65336,             0.53432,             0.19768,            0.028788,            0.016545,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.026164,           0.0097625,                   0,             0.50115,             0.71932,             0.50628,             0.19215,            0.028058,             0.01495,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.025427,           0.0096922,                   0,             0.64233,             0.73917,             0.72547,             0.26225,             0.02796,            0.013705,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.024862,            0.009475,                   0,               0.586,             0.63317,             0.58145,               0.191,            0.028981,            0.016309,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.024255,           0.0092886,                   0,             0.57843,             0.83295,             0.60668,             0.22758,             0.02781,             0.01436,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.024031,           0.0091532,                   0,             0.60543,             0.63341,             0.62613,             0.27671,            0.027354,            0.014674,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.023667,           0.0090742,                   0,             0.52132,             0.57058,             0.49345,             0.19731,            0.029127,            0.017234,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.023013,           0.0091252,                   0,             0.45265,             0.59954,             0.44276,              0.1798,            0.030094,             0.01646,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.022896,           0.0088147,                   0,             0.49523,             0.64084,              0.5573,             0.24216,            0.029864,            0.018811,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.02288,           0.0087594,                   0,             0.51952,             0.64919,             0.51844,             0.22914,            0.028182,            0.016871,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.022393,           0.0088749,                   0,             0.46406,             0.67302,             0.52552,             0.22924,            0.029189,             0.01754,                   0,            0.008416,            0.008416,            0.008416
