               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.01888,           0.0071469,                   0,             0.12844,             0.44722,             0.11239,            0.035505,            0.038504,            0.028922,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.018926,           0.0071814,                   0,             0.13664,             0.46667,             0.12423,            0.035577,            0.039402,            0.028274,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.01903,            0.007021,                   0,             0.10792,             0.29792,            0.074956,            0.019379,            0.041092,            0.033346,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.01867,           0.0070605,                   0,             0.11318,             0.32569,            0.082967,            0.019509,            0.041874,            0.032912,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.018875,           0.0070193,                   0,            0.085183,             0.29583,            0.072282,            0.016733,            0.041883,            0.032343,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.018636,           0.0069661,                   0,             0.10622,             0.28472,            0.070474,            0.017395,            0.040286,            0.033839,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.018376,           0.0071427,                   0,             0.13885,             0.37431,             0.10032,            0.025603,            0.042471,            0.029668,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.018491,            0.006881,                   0,             0.13352,             0.42847,             0.10738,            0.031868,            0.040537,            0.029223,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.018274,           0.0069368,                   0,             0.13592,             0.39653,             0.10365,             0.02785,             0.04172,            0.031202,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.018199,           0.0069963,                   0,            0.072117,             0.20278,            0.045017,            0.011622,            0.045459,            0.033437,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.018259,           0.0069849,                   0,             0.12732,             0.34722,            0.091638,             0.02515,            0.041898,            0.033231,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.017735,           0.0069532,                   0,             0.11685,             0.31111,            0.083059,            0.022279,            0.040156,            0.034291,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.017757,           0.0066949,                   0,             0.10087,             0.36042,            0.091254,            0.022559,            0.041831,             0.03289,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.017871,           0.0067583,                   0,            0.084758,             0.33403,             0.07311,            0.021258,            0.038713,            0.034198,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.017555,           0.0068212,                   0,             0.13491,             0.33194,            0.092171,            0.024645,             0.04066,            0.033697,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.017298,           0.0066616,                   0,             0.07678,                 0.2,            0.046679,             0.01392,            0.042043,            0.035011,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.017524,           0.0069282,                   0,             0.11357,             0.28542,            0.073364,            0.017509,            0.041894,            0.034315,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.017461,           0.0066187,                   0,            0.055982,             0.15208,            0.032912,           0.0087708,            0.041971,              0.0361,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.017397,           0.0067291,                   0,             0.10467,             0.32986,            0.073689,            0.016797,            0.041565,            0.032813,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.017247,            0.006636,                   0,             0.11686,             0.29792,            0.077878,             0.02015,            0.042324,            0.033341,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.01724,           0.0065431,                   0,             0.10774,             0.27361,            0.070492,            0.020592,            0.042131,            0.034552,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.017147,           0.0066271,                   0,             0.11025,             0.29722,            0.076854,            0.021685,            0.039509,            0.034755,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.017031,           0.0065729,                   0,             0.14435,             0.35556,             0.10608,            0.031352,            0.039433,            0.035144,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.016856,           0.0066127,                   0,              0.1217,               0.275,             0.08088,            0.027008,            0.038779,            0.034366,                   0,             0.00406,             0.00406,             0.00406
                  62,              0.0169,           0.0065463,                   0,             0.10708,             0.27639,            0.075019,            0.022764,            0.039027,            0.034732,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.016873,            0.006519,                   0,             0.16813,                 0.4,             0.12331,            0.034194,             0.03988,            0.032745,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.016712,           0.0065737,                   0,             0.10961,             0.26528,             0.07425,            0.022039,            0.039491,             0.03478,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.016768,           0.0065101,                   0,             0.10713,             0.27222,            0.069081,            0.018521,            0.042351,            0.033755,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.016767,           0.0064831,                   0,            0.098474,             0.24653,            0.065196,            0.017862,            0.041025,            0.034121,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.01643,           0.0064059,                   0,             0.10867,             0.30625,            0.080841,            0.022468,            0.041781,            0.032291,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.016305,            0.006324,                   0,            0.092529,             0.24514,            0.061703,            0.016162,            0.041984,             0.03331,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.016413,           0.0064434,                   0,            0.091059,             0.30694,            0.069013,            0.018485,            0.040173,             0.03311,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.016357,           0.0063364,                   0,             0.11709,             0.31736,            0.084176,            0.025195,            0.040776,            0.033786,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.016077,            0.006333,                   0,             0.11154,             0.25972,            0.071441,             0.01781,            0.040505,            0.034651,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.016265,           0.0063111,                   0,             0.10458,             0.25833,            0.073795,            0.020767,            0.041887,            0.034442,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.016025,           0.0062348,                   0,             0.10739,             0.27361,            0.070934,            0.018791,            0.042331,            0.032724,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.015926,           0.0062592,                   0,             0.12284,             0.29583,            0.082566,            0.022305,            0.040364,             0.03296,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.015846,           0.0062615,                   0,              0.1035,             0.27708,            0.070553,            0.019658,            0.041611,             0.03321,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.01592,           0.0062953,                   0,            0.099079,             0.31389,            0.074142,            0.020215,            0.041277,              0.0339,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.015509,            0.006119,                   0,            0.074165,             0.27153,             0.05997,            0.019473,            0.040107,            0.033062,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.015558,           0.0062071,                   0,             0.10079,             0.25764,            0.067958,            0.020383,            0.040189,            0.033965,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.015536,           0.0061701,                   0,            0.073972,             0.18611,             0.04577,            0.010454,            0.042745,            0.033739,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.015528,           0.0061452,                   0,            0.078293,             0.17708,            0.046657,            0.011892,            0.042528,             0.03368,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.015407,           0.0061927,                   0,            0.069233,             0.15486,            0.040512,            0.010255,            0.043582,             0.03377,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.015477,           0.0060475,                   0,            0.094266,             0.21806,            0.058306,            0.014743,            0.040793,            0.034771,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.015229,           0.0059364,                   0,             0.08537,             0.19653,            0.051674,            0.014175,            0.041475,            0.035189,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.015105,           0.0061709,                   0,              0.1152,             0.26736,            0.073901,            0.019048,            0.040974,            0.034475,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.014865,           0.0059647,                   0,            0.090852,             0.20069,            0.054689,            0.013997,             0.04205,            0.034511,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.014901,           0.0059295,                   0,             0.10281,             0.22847,            0.063444,            0.017091,             0.04076,            0.035342,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.015056,           0.0060043,                   0,             0.09151,             0.19236,            0.055262,            0.013959,            0.042157,            0.034599,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.014532,           0.0058638,                   0,            0.082709,             0.17639,            0.048705,            0.013169,            0.042319,            0.035413,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.015116,           0.0059794,                   0,             0.10208,             0.23194,            0.063446,            0.017498,            0.042156,            0.033842,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.014711,           0.0059217,                   0,            0.092553,             0.20972,             0.05672,            0.015069,            0.041967,            0.034464,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.014768,           0.0058839,                   0,             0.10421,             0.23194,            0.064725,            0.017457,            0.042057,            0.033761,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.014628,            0.005759,                   0,                 0.1,             0.21042,            0.060933,             0.01765,            0.041329,            0.034181,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.014578,           0.0058427,                   0,            0.098875,             0.20139,            0.059448,            0.016359,             0.04123,            0.034485,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.014568,           0.0057567,                   0,            0.096006,             0.19028,            0.057163,            0.015607,            0.041237,            0.034805,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.014302,           0.0057679,                   0,            0.092291,             0.18125,            0.054878,            0.014637,             0.04092,            0.035549,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.01439,           0.0058474,                   0,            0.097091,             0.19931,            0.058495,            0.015707,            0.041572,            0.035135,                   0,            0.000595,            0.000595,            0.000595
                  97,             0.01432,             0.00578,                   0,            0.094683,             0.19167,            0.056754,            0.014548,            0.042089,            0.034739,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.014078,           0.0058295,                   0,            0.076063,             0.14653,            0.043677,            0.011835,            0.042769,            0.035106,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.014105,           0.0057754,                   0,             0.08116,             0.15347,            0.047014,            0.012445,            0.042938,            0.034888,                   0,            0.000298,            0.000298,            0.000298
