               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058537,            0.023224,                   0,             0.61828,             0.68837,              0.5424,             0.16747,            0.030368,            0.011626,                   0,            0.070111,            0.003321,            0.003321
                   1,            0.041363,            0.014135,                   0,             0.82193,             0.82059,             0.74516,             0.25711,            0.026251,            0.011522,                   0,            0.040045,           0.0065884,           0.0065884
                   2,            0.037703,            0.012014,                   0,             0.77441,             0.77708,             0.70718,             0.23623,            0.028633,            0.012332,                   0,           0.0099134,           0.0097899,           0.0097899
                   3,            0.033547,            0.011102,                   0,             0.77564,             0.74665,              0.6713,             0.22816,            0.027242,            0.014044,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.029767,            0.010289,                   0,             0.75955,             0.79097,              0.7456,             0.27806,            0.026444,            0.013585,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.027354,            0.010084,                   0,              0.6502,             0.72431,             0.67623,             0.21381,            0.026509,            0.014348,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.026265,            0.009513,                   0,             0.87436,               0.875,             0.80398,             0.26698,            0.026286,            0.012777,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.025056,           0.0091019,                   0,             0.63823,             0.67778,             0.58263,             0.17588,             0.02871,            0.016211,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.024034,           0.0091122,                   0,             0.76809,             0.72569,             0.69707,             0.21822,            0.028053,            0.015247,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.023652,           0.0087362,                   0,             0.74465,             0.72094,              0.6915,              0.2438,            0.027384,            0.015525,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.022613,           0.0085255,                   0,              0.6545,             0.66597,             0.57015,             0.18605,            0.026967,            0.016858,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.022346,           0.0083942,                   0,             0.63736,             0.68681,             0.56354,             0.16783,            0.028277,            0.017646,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.022172,           0.0083059,                   0,             0.69465,               0.675,             0.63377,             0.19927,            0.028541,             0.01595,                   0,            0.008911,            0.008911,            0.008911
