               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060297,            0.023644,                   0,              0.5433,             0.78343,             0.67215,             0.30425,            0.025288,           0.0097636,                   0,            0.070111,            0.003321,            0.003321
                   1,             0.04283,            0.015218,                   0,             0.78458,              0.8085,             0.84322,             0.37289,            0.024947,           0.0090484,                   0,            0.040045,           0.0065884,           0.0065884
                   2,            0.038664,            0.012884,                   0,             0.66588,             0.88683,             0.82079,             0.33266,            0.025025,           0.0099781,                   0,           0.0099134,           0.0097899,           0.0097899
                   3,            0.034983,            0.011943,                   0,             0.17377,             0.10306,            0.069334,             0.02358,            0.035086,            0.023764,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.030793,             0.01086,                   0,             0.64635,             0.53969,             0.60235,             0.21918,            0.026715,            0.015453,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.028515,            0.010667,                   0,             0.83305,             0.71581,              0.8077,             0.29768,            0.025537,            0.012511,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.027308,            0.010107,                   0,             0.74247,             0.67061,             0.75851,             0.28387,            0.024165,            0.013055,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.026417,           0.0097273,                   0,             0.79988,             0.53482,             0.67935,             0.29592,            0.025159,            0.016494,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.025418,           0.0095695,                   0,             0.74862,             0.53296,             0.67643,             0.28906,            0.025014,            0.016278,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.02485,            0.009293,                   0,             0.50632,             0.52368,             0.49676,             0.19283,            0.025502,            0.016847,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.024025,           0.0089893,                   0,              0.6129,             0.48189,             0.53674,              0.1776,            0.026553,            0.017478,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.023639,           0.0088131,                   0,             0.63946,             0.59657,             0.64302,             0.24037,            0.026161,            0.016275,                   0,             0.00901,             0.00901,             0.00901
                  12,             0.02326,            0.008862,                   0,             0.68784,             0.49563,             0.59999,             0.23839,            0.025619,            0.016561,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.022939,           0.0086967,                   0,             0.80075,             0.73324,               0.832,             0.31283,            0.024022,            0.013434,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.022543,           0.0086219,                   0,             0.57659,             0.53621,             0.56517,             0.18146,            0.024985,            0.016229,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.022145,           0.0084953,                   0,             0.47509,             0.43238,             0.39692,             0.12163,             0.02658,            0.020355,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.021734,           0.0084275,                   0,             0.52746,             0.64671,             0.56918,             0.17482,            0.026359,            0.016979,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.021444,           0.0081977,                   0,             0.21899,             0.58148,             0.41889,             0.16309,            0.027612,            0.024249,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.021044,            0.008133,                   0,             0.61121,             0.69777,             0.62879,              0.1978,            0.025608,            0.016848,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.021171,           0.0083208,                   0,             0.75402,             0.52019,             0.61078,             0.28891,            0.026422,            0.015519,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.020843,           0.0081078,                   0,             0.60653,             0.58008,             0.55908,             0.16797,            0.025944,            0.015891,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.020749,           0.0079041,                   0,             0.20164,              0.3085,             0.16452,            0.041815,             0.02842,            0.031653,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.020284,           0.0079336,                   0,             0.69947,             0.45891,             0.58106,             0.25896,            0.027047,            0.020066,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.019991,           0.0079749,                   0,             0.72603,             0.47797,             0.55921,             0.20007,            0.025728,            0.020113,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.019813,           0.0076544,                   0,             0.31477,             0.73607,              0.5421,             0.20422,            0.026626,            0.022103,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.019704,           0.0076109,                   0,             0.62442,              0.5961,             0.58666,             0.18611,            0.025781,            0.019099,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.019817,           0.0076024,                   0,             0.29807,             0.76532,             0.44498,             0.12959,            0.028205,            0.020858,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.019715,           0.0075391,                   0,             0.75361,             0.51118,             0.65942,             0.23032,            0.026268,            0.019237,                   0,            0.007426,            0.007426,            0.007426
                  28,             0.01938,            0.007712,                   0,             0.77735,              0.5954,             0.74569,             0.25741,            0.025324,            0.014623,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.019312,           0.0074776,                   0,             0.58508,             0.46153,             0.55003,             0.23302,             0.02617,            0.019063,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.019108,           0.0074529,                   0,             0.33064,             0.56964,             0.43139,             0.14319,            0.028157,            0.027351,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.019003,           0.0073882,                   0,             0.55514,             0.47621,             0.46494,             0.17014,            0.027412,            0.020114,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.018472,            0.007404,                   0,             0.49316,             0.61072,             0.56248,             0.18374,            0.027006,            0.016056,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.018481,            0.007366,                   0,             0.29377,             0.79805,              0.3976,             0.14346,             0.02715,            0.019865,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.018575,           0.0072937,                   0,             0.68989,             0.70265,             0.73308,             0.22713,             0.02547,            0.015706,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.018371,           0.0073886,                   0,              0.2795,             0.60864,             0.30845,             0.10182,             0.03067,            0.023328,                   0,            0.006634,            0.006634,            0.006634
                  36,             0.01821,           0.0073121,                   0,             0.25812,             0.70822,             0.26023,            0.080295,            0.029875,            0.023794,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.018129,            0.007174,                   0,             0.27387,             0.69708,             0.26998,            0.077731,            0.030076,            0.023501,                   0,            0.006436,            0.006436,            0.006436
                  38,             0.01785,           0.0071536,                   0,             0.74153,             0.58844,             0.70011,             0.21743,              0.0268,            0.016014,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.017648,           0.0071294,                   0,             0.51023,             0.63788,             0.50139,             0.16033,             0.02681,            0.018257,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.017869,           0.0070907,                   0,             0.27634,             0.52228,             0.29668,             0.08497,            0.031507,            0.025874,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.017381,           0.0069373,                   0,             0.68796,             0.45292,             0.60632,             0.22708,             0.02578,            0.019603,                   0,             0.00604,             0.00604,             0.00604
