               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054165,            0.021288,                   0,              0.8242,             0.86915,             0.87936,             0.46249,            0.023122,           0.0092972,                   0,            0.070061,           0.0033266,           0.0033266
                   1,            0.038008,            0.013624,                   0,             0.96568,             0.96391,             0.98128,             0.57745,            0.019738,           0.0075644,                   0,            0.039995,            0.006594,            0.006594
                   2,            0.034603,            0.011958,                   0,             0.96225,             0.96353,             0.98087,             0.57158,            0.019402,           0.0074737,                   0,           0.0098629,           0.0097954,           0.0097954
                   3,            0.031125,             0.01127,                   0,             0.99078,             0.99076,             0.99246,             0.65812,            0.016017,           0.0064599,                   0,            0.009703,            0.009703,            0.009703
                   4,             0.02784,            0.010584,                   0,             0.98231,              0.9845,             0.99044,             0.66618,            0.015637,           0.0065197,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.026082,           0.0099563,                   0,             0.99205,             0.99521,              0.9927,              0.7194,            0.014181,           0.0060478,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.025045,           0.0096055,                   0,              0.9948,             0.99363,             0.99324,             0.71738,            0.013562,           0.0058674,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.024465,           0.0095285,                   0,             0.99506,             0.99455,             0.99339,             0.71914,            0.013294,           0.0057209,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.023351,           0.0092628,                   0,             0.99741,             0.99772,              0.9939,             0.74517,            0.012541,           0.0054704,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.023042,           0.0090785,                   0,             0.99257,              0.9938,             0.99351,             0.73783,            0.013007,           0.0056179,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.022406,           0.0089424,                   0,             0.99536,             0.99645,             0.99422,             0.75958,            0.012245,           0.0053473,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.022198,           0.0087693,                   0,             0.99633,             0.99619,              0.9947,             0.75475,            0.012182,           0.0054057,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.021663,           0.0085959,                   0,             0.99633,             0.99667,             0.99396,             0.74864,             0.01269,           0.0055209,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.021383,           0.0085268,                   0,             0.99578,             0.99734,             0.99436,             0.77135,            0.011454,           0.0050055,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.021045,           0.0083053,                   0,             0.99634,             0.99709,             0.99444,             0.78967,            0.011025,           0.0049327,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.020969,            0.008278,                   0,             0.99633,             0.99683,             0.99421,             0.78587,            0.010971,           0.0049784,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.020456,            0.008099,                   0,             0.99722,             0.99773,              0.9938,             0.79817,            0.010657,           0.0047708,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.02012,           0.0081006,                   0,             0.99595,              0.9971,              0.9936,             0.80022,             0.01061,            0.004841,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.020115,            0.008068,                   0,             0.99804,             0.99835,             0.99441,             0.80371,            0.010592,           0.0048126,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.019796,           0.0080231,                   0,             0.99697,             0.99734,             0.99439,             0.80119,            0.010563,           0.0047968,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.019716,           0.0079354,                   0,              0.9963,             0.99658,             0.99385,             0.79232,            0.010712,            0.004919,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.019422,           0.0078519,                   0,             0.99652,             0.99658,             0.99451,             0.80502,            0.010328,           0.0047382,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.019152,           0.0077102,                   0,             0.99693,             0.99785,             0.99364,             0.81843,           0.0099471,            0.004591,                   0,            0.007921,            0.007921,            0.007921
                  23,             0.01906,           0.0076448,                   0,             0.99544,             0.99696,             0.99432,             0.81598,           0.0098485,           0.0045872,                   0,            0.007822,            0.007822,            0.007822
                  24,             0.01904,           0.0077132,                   0,             0.99747,             0.99715,             0.99458,             0.81623,           0.0099713,           0.0046399,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.018933,           0.0076563,                   0,             0.99595,             0.99738,              0.9939,             0.81975,           0.0098192,           0.0045716,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.018507,           0.0076759,                   0,             0.99737,             0.99747,             0.99466,             0.81452,           0.0098214,           0.0045552,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.018329,           0.0074526,                   0,             0.99772,             0.99781,             0.99456,             0.82462,           0.0096993,           0.0044946,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.018097,           0.0074361,                   0,             0.99759,             0.99744,              0.9938,             0.82492,           0.0094261,           0.0044225,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.017947,           0.0073931,                   0,             0.99722,             0.99771,             0.99409,             0.82165,           0.0096042,           0.0044874,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.017921,           0.0072814,                   0,             0.99718,             0.99709,             0.99362,             0.82861,           0.0092578,           0.0043544,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.018045,           0.0072992,                   0,             0.99683,             0.99747,             0.99382,             0.83696,           0.0090571,           0.0043352,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.017766,           0.0072365,                   0,             0.99759,              0.9978,              0.9941,              0.8388,            0.008997,           0.0042755,                   0,            0.006931,            0.006931,            0.006931
