               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058989,            0.023171,                   0,             0.10547,             0.19375,              0.1112,            0.026782,            0.034237,            0.016643,                   0,            0.070112,           0.0033209,           0.0033209
                   1,             0.04213,            0.013927,                   0,            0.030198,            0.065278,            0.025464,           0.0069445,            0.032825,            0.021728,                   0,            0.040046,           0.0065884,           0.0065884
                   2,            0.037854,            0.011706,                   0,            0.093443,             0.19097,            0.085759,            0.027301,            0.030336,            0.021957,                   0,           0.0099138,           0.0097899,           0.0097899
                   3,            0.033509,            0.010796,                   0,            0.070785,             0.76875,             0.11954,            0.036527,             0.03345,            0.025436,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.030436,            0.009989,                   0,             0.37842,             0.62866,             0.30929,             0.12336,            0.031538,             0.01701,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.027945,           0.0096221,                   0,              0.1146,             0.46667,            0.091965,            0.028332,            0.038385,            0.027161,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.026655,            0.009161,                   0,             0.20184,             0.48889,             0.15402,            0.050472,            0.035746,            0.025635,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.02499,           0.0088688,                   0,             0.22567,             0.30417,             0.17278,            0.065061,            0.034951,            0.024304,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.024796,           0.0087728,                   0,            0.065319,             0.29167,              0.0436,            0.012508,            0.037803,            0.031776,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.023921,           0.0084318,                   0,            0.078365,             0.33681,            0.061562,            0.023227,            0.040774,             0.02913,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.02369,           0.0082523,                   0,             0.06378,             0.26389,            0.040614,           0.0096882,            0.042666,            0.032665,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.022895,            0.008028,                   0,            0.056518,             0.34444,            0.053364,            0.011932,            0.042694,            0.029053,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.022841,           0.0082323,                   0,             0.13084,             0.60069,             0.13813,             0.04985,            0.037186,            0.027312,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.022067,           0.0078217,                   0,            0.059897,             0.24167,            0.038919,           0.0088647,            0.045497,            0.029267,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.021691,           0.0078292,                   0,            0.066839,             0.19722,            0.040065,           0.0090127,            0.043859,            0.030463,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.021036,           0.0078428,                   0,             0.10257,             0.57083,             0.10317,            0.032729,            0.040054,            0.028601,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.020847,           0.0076538,                   0,            0.040285,             0.35694,            0.041474,            0.010742,             0.04235,            0.029304,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.020606,           0.0075891,                   0,            0.083445,             0.25833,            0.053046,            0.012476,            0.045007,            0.029701,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.020787,           0.0075467,                   0,             0.17856,             0.62708,             0.16188,            0.046847,            0.036632,            0.027758,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.020451,           0.0076328,                   0,             0.18775,             0.54931,             0.15992,            0.050649,            0.036717,            0.028532,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.019944,            0.007428,                   0,             0.20647,             0.65139,             0.17498,            0.044072,             0.03808,            0.029419,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.019756,           0.0072735,                   0,             0.18404,             0.67569,             0.18423,            0.062665,            0.034257,            0.030125,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.019834,           0.0072854,                   0,             0.18528,             0.56111,             0.14974,            0.046343,            0.035428,            0.032342,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.019171,           0.0072953,                   0,            0.082854,                 0.3,            0.061221,            0.024415,            0.045449,            0.029191,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.018979,           0.0071285,                   0,             0.10431,              0.2875,            0.067797,            0.021528,            0.043203,            0.030835,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.019214,           0.0070339,                   0,             0.10378,             0.35694,             0.07463,            0.026102,            0.037907,            0.033248,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.018927,           0.0069873,                   0,             0.07586,               0.225,            0.046568,            0.013564,            0.041372,            0.033426,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.018802,           0.0069362,                   0,              0.1498,             0.43681,             0.11481,            0.031871,            0.042438,            0.030182,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.018592,           0.0069654,                   0,            0.084626,                0.25,            0.053122,            0.016676,            0.044199,            0.030964,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.018396,            0.006946,                   0,             0.18444,             0.54167,             0.14737,            0.043299,            0.038772,            0.028781,                   0,            0.007228,            0.007228,            0.007228
