               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061897,            0.024338,                   0,             0.69632,             0.84656,             0.78826,             0.30291,            0.029174,            0.010654,                   0,            0.070084,            0.003324,            0.003324
                   1,            0.043644,            0.015563,                   0,             0.92134,             0.91275,             0.93855,             0.35448,            0.024261,             0.00994,                   0,            0.040018,           0.0065915,           0.0065915
                   2,            0.038434,            0.013303,                   0,             0.61432,             0.68275,             0.60109,             0.21707,            0.024487,            0.013044,                   0,           0.0098857,           0.0097929,           0.0097929
                   3,            0.034102,            0.012139,                   0,             0.85658,             0.38219,             0.54417,             0.20259,            0.026763,            0.018498,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.030451,            0.010987,                   0,             0.87311,               0.859,             0.86698,             0.36026,            0.023632,            0.011322,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.028589,            0.010873,                   0,             0.67344,             0.67815,              0.7134,             0.33377,            0.023807,            0.013333,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.027777,            0.010418,                   0,             0.36683,             0.44445,             0.40274,             0.14618,            0.029101,            0.015313,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.026504,            0.010022,                   0,             0.37287,             0.43228,             0.40969,             0.18091,             0.02901,            0.017423,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.026048,           0.0099116,                   0,             0.62004,              0.6243,             0.62002,             0.21797,            0.025629,            0.015198,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.025338,           0.0096691,                   0,             0.41976,             0.38683,              0.4202,             0.18596,            0.027737,            0.018415,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.024836,            0.009364,                   0,             0.59343,             0.68852,             0.58539,             0.22745,            0.025882,            0.014319,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.024276,           0.0093421,                   0,             0.70582,               0.718,             0.73317,             0.30782,            0.025834,            0.013079,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.024145,           0.0092668,                   0,             0.55475,             0.63312,             0.65049,             0.30899,            0.024224,            0.014897,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.023753,           0.0089732,                   0,             0.56837,              0.6816,             0.64017,             0.28405,             0.02429,            0.016072,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.023132,           0.0090261,                   0,             0.44404,             0.58627,             0.52049,             0.23433,            0.024197,            0.016011,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.022803,           0.0087371,                   0,             0.75474,             0.78074,             0.78621,             0.32542,            0.024261,            0.012484,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.022277,           0.0088712,                   0,             0.82037,             0.87709,             0.87794,             0.36665,            0.022726,            0.012097,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.022412,           0.0087148,                   0,             0.52081,             0.56494,             0.58499,             0.28373,            0.023954,            0.017134,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.02218,           0.0086784,                   0,             0.53286,             0.64703,             0.59892,             0.27342,            0.024462,            0.014749,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.021675,           0.0086105,                   0,             0.71601,             0.72959,             0.77305,             0.35409,             0.02369,            0.014286,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.021812,           0.0084392,                   0,             0.78696,             0.67504,             0.76838,             0.35256,            0.023613,            0.014119,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.021635,           0.0083985,                   0,             0.50777,             0.49861,             0.56784,             0.26792,            0.023723,            0.016308,                   0,             0.00802,             0.00802,             0.00802
                  22,             0.02155,           0.0082711,                   0,             0.52995,             0.70021,             0.63057,             0.26877,            0.024734,            0.014861,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.021184,           0.0084232,                   0,             0.61481,             0.63915,             0.68396,             0.30914,             0.02458,            0.014408,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.020929,            0.008113,                   0,             0.72845,             0.80612,             0.82329,             0.35914,            0.023302,            0.012918,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.021022,           0.0081314,                   0,             0.57348,             0.59184,             0.62391,             0.27099,            0.024599,            0.015671,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.020984,           0.0080758,                   0,             0.64343,             0.61967,             0.65498,             0.29972,            0.025432,            0.014885,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.020514,           0.0080706,                   0,             0.60932,             0.58812,             0.65745,              0.2905,            0.024213,            0.015289,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.020336,           0.0080603,                   0,             0.68365,             0.63358,             0.71621,             0.31746,            0.024348,            0.014114,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.020351,           0.0079564,                   0,             0.63567,             0.66327,             0.67418,             0.32173,            0.024323,            0.014925,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.020108,           0.0079076,                   0,             0.70673,             0.67623,             0.72628,             0.34399,            0.024605,            0.015066,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.019832,           0.0078578,                   0,             0.44423,              0.4782,              0.4981,             0.23244,            0.027528,            0.017402,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.019985,           0.0079755,                   0,             0.53136,             0.70594,             0.67878,             0.31656,            0.024642,            0.014065,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.019873,           0.0079011,                   0,             0.75661,              0.7885,             0.83645,             0.37061,            0.023728,            0.012135,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.019888,           0.0078376,                   0,             0.71949,             0.71381,             0.74761,             0.33455,            0.025004,            0.013545,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.019366,           0.0077309,                   0,             0.60627,             0.72913,             0.70564,             0.30799,            0.025252,             0.01432,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.019486,           0.0078832,                   0,             0.57445,              0.6668,             0.65731,             0.29756,            0.024692,            0.015444,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.019349,           0.0077088,                   0,             0.42828,             0.47809,             0.50548,             0.23824,            0.025077,            0.017945,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.019193,           0.0077074,                   0,             0.59434,             0.63497,             0.66818,             0.28854,            0.024534,            0.014775,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.019167,           0.0076279,                   0,             0.44958,             0.55844,             0.52591,              0.2311,             0.02598,            0.016963,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.019076,           0.0075371,                   0,             0.38241,             0.57699,             0.51451,             0.22481,            0.026858,             0.01654,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.018954,           0.0075045,                   0,             0.48397,             0.57746,              0.5716,             0.25661,            0.025349,            0.015562,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.018798,           0.0075223,                   0,              0.5271,             0.71447,              0.6059,             0.25731,            0.026128,            0.014482,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.018778,           0.0074402,                   0,             0.68048,             0.77345,             0.78519,             0.33555,            0.024393,            0.014373,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.018316,           0.0074774,                   0,             0.48603,             0.62662,              0.5781,             0.25932,            0.025316,            0.015929,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.018687,           0.0073557,                   0,             0.50071,             0.45259,             0.51186,              0.2277,            0.026631,            0.018294,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.018441,           0.0073736,                   0,             0.52363,              0.5965,              0.5928,              0.2666,            0.026757,            0.016025,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.018307,           0.0074376,                   0,             0.48916,              0.6141,             0.57263,             0.25249,            0.026726,            0.015412,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.018086,           0.0072703,                   0,              0.5149,             0.63126,             0.58584,             0.26467,            0.025361,            0.015432,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.017969,           0.0074008,                   0,             0.55577,             0.70619,             0.65223,             0.31037,            0.024989,            0.014575,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.018191,           0.0072763,                   0,             0.48585,             0.64286,             0.60764,             0.28557,            0.024906,            0.015031,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.018152,           0.0072495,                   0,              0.6893,             0.72959,             0.76718,             0.35015,            0.023382,            0.014442,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.017795,           0.0072598,                   0,             0.52636,             0.65976,             0.62545,             0.27726,            0.025037,            0.015149,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.017929,           0.0071466,                   0,             0.55921,             0.68845,             0.67677,             0.32032,            0.024474,            0.015122,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.017468,           0.0072768,                   0,             0.50492,             0.57664,             0.57459,             0.26884,            0.024942,            0.016953,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.017674,           0.0070719,                   0,             0.60637,             0.59232,             0.64586,             0.29325,             0.02415,            0.017209,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.017489,           0.0072033,                   0,             0.59595,             0.67179,             0.71199,             0.32475,            0.023507,            0.015728,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.017669,           0.0070991,                   0,             0.50864,             0.62417,             0.61233,             0.27923,            0.024717,            0.016914,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.017435,           0.0070924,                   0,             0.57764,             0.65816,             0.67128,             0.30974,             0.02423,            0.015923,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.017338,           0.0070304,                   0,             0.61745,             0.63173,             0.68913,             0.31632,            0.024456,            0.016095,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.017062,           0.0068887,                   0,             0.69187,             0.68529,             0.76329,             0.35056,            0.023763,            0.014559,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.017024,           0.0069845,                   0,             0.54054,             0.65631,             0.63625,             0.29207,            0.025633,            0.015839,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.016853,            0.006968,                   0,             0.56842,             0.73611,             0.67128,             0.28511,            0.025056,            0.014798,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.017134,           0.0069675,                   0,             0.59839,             0.64007,             0.66329,             0.30671,            0.025088,            0.015126,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.01663,           0.0069152,                   0,             0.58402,             0.72356,             0.70422,             0.31126,            0.024726,            0.015156,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.016922,           0.0068416,                   0,             0.54609,              0.6858,             0.63336,             0.27866,            0.025418,            0.015865,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.016763,           0.0068748,                   0,             0.54654,             0.63058,               0.617,             0.28671,            0.025106,             0.01705,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.016704,           0.0068451,                   0,             0.60667,             0.66104,             0.65336,              0.2965,            0.024745,             0.01558,                   0,            0.003466,            0.003466,            0.003466
